Título,Autor,Materia,Resumen,Fecha,Idioma
Cómo hacer cosas malas con palabras: actos ilocucionarios hostiles y los fundamentos de la teoría de los actos de habla,"Blanco Salgueiro,Antonio",fuerza ilocucionaria,"En el presente artículo se defiende que el estudio de una familia par- ticular de actos de habla, los actos ilocucionarios hostiles, nos da la clave para reexaminar cuatro importantes cuestiones fundacionales de la teoría de los actos de habla: la distinción ilocucionario/perlocucionario, la noción de infortunio, la cuestión de la primacía de la primera sobre la tercera persona en el estudio de la fuerza, y la cuestión de la posibilidad de una teoría general y sistemática del fenómeno de la fuerza.",01/01/2008,es
"Wittgenstein, Geertz y la comprensión de metáforas","Fermandois,Eduardo",traducción,"El objetivo del artículo es describir rasgos estructurales de la comprensión de metáforas mediante una comparación con la comprensión de otras culturas, tal como ésta ha sido comentada por Wittgenstein y Geertz. El fenómeno de estudio es la comprensión enfática (no básica) de metáforas fuertes (no de metáforas convencionales y muertas). La comparación entre ambos tipos de comprensión sirve para plantear y dar respuesta a tres preguntas desatendidas en la profusa literatura sobre la metáfora: 1) ¿En qué sentido nos sorprenden las metáforas fuertes? 2) ¿En qué sentido pueden ser profundas? 3) ¿En qué sentido hablamos de la riqueza de este fenómeno lingüístico?",01/01/2008,es
Abducción en modelos finitos,"Soler Toscano,Fernando",lógica de primer orden,"Este artículo presenta un acercamiento a la resolución de problemas abductivos en C-estructuras, estructuras que tienen un universo de discurso finito y cada uno de sus elementos es la interpretación de una constante conocida. Empleando una variante del cálculo de tablas semánticas y resolución dual, construimos un procedimiento efectivo para encontrar soluciones abductivas minimales dentro de la semántica propuesta.",01/01/2008,es
La doctrina platónica de los colores: una interpretación realista,"Txapartegi,Ekai",Platón,"Algunos de los últimos avances en el debate sobre la naturaleza de los colores han contribuido a una mejor comprensión de la doctrina platónica sobre los colores. Siguiendo esa estela revisionista, en la primera parte del artículo presento una interpretación de corte realista de dicha doctrina. En la segunda, argumento por qué ésta no puede intitularse más finamente, ni como fisicista ni como primitivista. A mi entender, ese ejercicio exegético permite justipreciar el valor contemporáneo de la doctrina de los colores de Platón, ya que las incipientes propuestas realistas pueden ahora afirmar legítimamente que el antecedente histórico que parecía faltarles se encuentra, precisamente, en los diálogos platónicos.",01/01/2008,es
Sobre paralogismos: ideas para tener en cuenta,"Vega Reñón,Luis",Vaz Ferreira,"En este artículo me propongo dos tareas. (1) Mostrar la singularidad de los paralogismos según Vaz Ferreira dentro de la tradición de las falacias, debida no sólo a su peculiar marco “psicológico” de planteamiento, sino a su concepción del paralogismo como un proceso o estado de confusión y una fuente de errores mentales y cognitivos antes que discursivos. (2) Trasladar esta idea al campo actual de la argumentación para aprovechar su poder de sugerencia, pues la contribución de Vaz Ferreira no se limita a la lúcida exploración e ilustración del paralogismo como una dimensión del discurrir falaz, antes de él apenas entrevista. Además abunda en propuestas dignas de tenerse en cuenta en nuestras discusiones actuales en torno a la argumentación falaz.",01/01/2008,es
Patrones inferenciales,"Barceló Aspeitia,Axel Arturo",inferencialismo,"El objetivo de este artículo es proponer un método de traducción de tablas de verdad a reglas de inferencia, para la lógica proposicional, que sea tan directo como el tradicional método inverso (de reglas a tablas). Este método, además, permitirá resolver de manera elegante el viejo problema, formulado originalmente por Prior en 1960, de determinar qué reglas de inferencia definen un conectivo.",01/01/2008,es
"Contenido, sensación y percepción","Fernández Prat,Olga",datos sensoriales,"Este artículo pretende clarificar la relación entre los aspectos sensoriales de la percepción y el aspecto “demostrativo” sobre el que han llamado la atención autores como Evans y McDowell. Tras introducir un análisis husserliano en espíritu de los modos de presentación demostrativo-perceptuales, y con base en una versión de la teoría de los datos sensoriales -sin los defectos que la han hecho impopular recientemente entre los filósofos- se proponen correspondencias entre la “fase sensorial” y la “fase demostrativo-conceptual” de la percepción, caracterizadas, respectivamente por su contenido no conceptual y conceptual. El punto crucial de la relación entre ambos se explica entonces apelando a cierta operación sintética. Finalmente, se intenta mostrar que esta propuesta es más satisfactoria que la propuesta alternativa existente, debida a John Campbell.",01/01/2008,es
La estructura lógica de la teoría de los juegos,"García de la Sienra,Adolfo",aplicabilidad empírica,"La literatura sobre teoría de juegos (TJ) usualmente se ocupa de dar formulaciones de la misma que son suficientes para considerar aplicaciones específicas (casi siempre en economía o ciencia política) o para demostrar la existencia de equilibrios. Este artículo está dedicado a proveer una reconstrucción lógica sistemática de la TJ que busca determinar su elemento teórico básico a través de la formulación de su ley fundamental. Después de definir los conceptos de estrategia, procede a mostrar de qué manera cualquier estrategia conductual determina un espacio de probabilidad sobre las historias del juego, como prolegómeno para definir el concepto de juego y considerar el problema de su aplicabilidad empírica.",01/01/2009,es
El papel de los aspectos prácticos en una teoría acerca de las atribuciones de conocimiento,"Pailos,Federico Matías",invariantismo,"En conjunción con la tesis de que sólo se debe actuar sobre la base de lo que se sabe, el Invariantismo Relativo al Interés que propone Stanley permite explicar la mayoría de nuestras intuiciones en torno a ciertos ejemplos relevantes. Pero si se relativiza el valor de verdad de las atribuciones de conocimiento a la situación práctica de todo individuo relevante, se pueden rescatar todas estas intuiciones, y no sólo la mayoría de ellas. Esta posición también explica la extrañeza generada por la paradoja de Moore, y el papel de las atribuciones de conocimiento en la justificación de las acciones.",01/01/2009,es
El estatus ontológico de los mundos posibles,"Pérez Otero,Manuel",Fórmula Barcan,"Tanto la Fórmula Barcan como la postulación de possibilia (entidades meramente posibles) contradicen los juicios intuitivos preteóricos de la mayoría de los sujetos, favorables al actualismo sobre la naturaleza de los mundos posibles. En este artículo discuto y rechazo dos argumentos que pretenderían contrarrestar tales juicios, y que conciben erróneamente la relación entre la semántica de mundos posibles (SMP) y nuestros lenguajes naturales modales. El argumento más importante (propuesto por Williamson) asume que el dominio de todas las entidades es idéntico al dominio de @ (el índice que en la SMP representa al mundo real). Desarrollo una interpretación de la SMP conforme a la cual esa tesis no está suficientemente justificada.",01/01/2009,es
El éter relativista: un cambio conceptual inconcluso,"Cassini,Alejandro",relatividad especial,"La posición inicial de Einstein con respecto al éter electromagnético y su posterior eliminación del escenario de la relatividad especial resultaron profundamente alteradas por la relatividad general. En este artículo analizamos los diferentes argumentos de Einstein contra el éter electromagnético. Luego estudiamos las razones que lo llevaron a reintroducir el éter gravitatorio en la relatividad general. Después de comparar las propiedades y funciones del antiguo éter con las del nuevo éter relativista, concluimos que se ha producido un cambio conceptual y que el término “éter” ha experimentado un cambio de significado. No obstante, mostramos que el nuevo éter retuvo algunas de las propiedades y funciones características del viejo éter electromagnético.",01/01/2009,es
Identidad y discriminación en el contenido no conceptual,"Díaz Legaspe,Justina",sortales,"En The Varieties of Reference, Evans sostiene que el contenido perceptual posee una naturaleza no conceptual. Precisamente, los vínculos informacionales entre sujeto y objeto habilitan el pensamiento singular, al permitir la localización del objeto en un entorno egocéntrico. Anclados en algunos casos en estos vínculos, los pensamientos singulares contienen Ideas adecuadas del objeto, dependientes de una determinada clasificación del mismo. Nada en el contenido perceptual equivale a este recorte conceptual del objeto en el pensamiento. Sostendré entonces la necesidad de introducir la idea de una representación no conceptual de cosa que recortaría, de dicho contenido, un punto de anclaje para la representación informacional.",01/01/2009,es
Insuficiencias del modelo deíctico de los nombres propios,"Vicario,Ignacio",significado lingüístico,"Discuto aquí un modelo del significado de los nombres propios desarrollado, principalmente, por Récanati y García-Carpintero. Según este modelo, los nombres propios son expresiones deícticas, que poseen una regla que atribuye al referente la propiedad de llamarse “N”. La discusión se centra en la noción de significado lingüístico, la controversia deíxis/ambigüedad, el argumento de generalidad, el pretendido carácter no lingüístico de las estipulaciones nominales, y el papel de la propiedad metalingüística en la explicación de la competencia lingüística de los hablantes. Finalmente, critico la solución deíctica al problema de la comprensión y la transmisión de conocimiento.",01/01/2009,es
La constitución de objetos físicos en el Aufbau: Quine contra Carnap,"Cardona Suárez,Carlos Alberto",cualidades,En este artículo se sugiere que el argumento de Quine contra el reduccionismo radical de Carnap (segundo dogma del empirismo) exhibe de manera incompleta el fundamento del proyecto de Carnap recogido en Der logische Aufbau der Welt. En el artículo se ofrece una estrategia de lectura de los doce pasos que conducen a la construcción de objetos físicos en el Aufbau y se plantean algunas críticas a una propuesta reciente de Thomas Mormann.,01/01/2010,es
Deontología y consecuencialismo: un enfoque informacional,"Cejudo Córdoba,Rafael",relatividad respecto del agente,"Durante los últimos cuarenta años el consecuencialismo ha evolucionado para responder a numerosas críticas, hasta el punto de que hoy comparte rasgos importantes con las teorías deontológicas. El enfoque informacional de Amartya Sen analiza el tipo y la cantidad de información que una estructura ética necesita. Uso este método para determinar cuánto puede aproximarse a la deontología este nuevo consecuencialismo, y cuán difícil puede ser tal expansión. En el contexto del principio del doble efecto, el enfoque informacional permite mostrar que existe una divergencia inevitable entre la deontología y el consecuencialismo. Esta disparidad manifiesta dimensiones genuinas de la razón práctica.",01/01/2010,es
Teoría de la verdad evolucionaria en Peirce,"Soto,Cristian",evolución,"Expondré las líneas generales de una teoría de la verdad evolucionaria con tres objetivos principales: primero, mostrar que ella da cuenta de la teoría de la verdad pragmatista de Peirce, reuniendo la convergencia y la correspondencia; segundo, evidenciar que involucra compromisos metafísicos realistas a partir de la relación entre evolución, verdad y realidad; y, tercero, arrojar luz sobre un aspecto importante de la discusión contemporánea sobre teorías de la verdad, a saber, su carácter eminentemente metafísico.",01/01/2010,es
"Petitio principii, ad ignorantiam y fundamentación del conocimiento","Vilanova Arias,Javier",argumentación,"Se examina el problema de la circularidad argumental en la fundamentación del conocimiento desde la teoría de la argumentación. Los argumentos dirigidos a probar que sabemos (argumentos fundamentadores) son sospechosos de dos falacias: petición de principio y apelación a la ignorancia. Se examinan las definiciones clásicas de ambas falacias y se dictamina que bajo tales definiciones los argumentos fundamentadores serían falaces. A continuación se proporcionan nuevas definiciones de ambas falacias, más acordes con el trabajo reciente en teoría de la argumentación y se sostiene que, bajo estas definiciones, no todos los argumentos fundamentadores son falaces.",01/01/2011,es
¿Por qué una palabra significa lo que significa? Comentarios a Escepticismo del significado y teorías de conceptos de Sílvio Mota Pinto,"Barceló Aspeitia,Axel Arturo",contrastivismo,"En esta nota critico la teoría de la interpretación de Mota Pinto (2009), arguyendo que predice significados donde intuitivamente no debería haberlos. De paso, critico su presentación de la perspectiva comunitarista del significado, distinguiendo entre dos tipos diferentes de hechos semánticos: el que una palabra signifique lo que significa en vez de significar otra cosa, y el que una expresión signifique lo que significa en vez de no significar nada.",01/01/2011,es
Respuesta a “¿Por qué una palabra significa lo que significa?” De Axel Barceló,"Mota Pinto,Sílvio",comprensión lingüística,"Dos de las respuestas a la pregunta sobre la naturaleza de la comprensión lingüística -el comunitarismo y el interpretativismo-, las cuales discuto amplia-mente en Escepticismo del significado y teorías de conceptos, son objeto de la crítica de Axel Barceló en su comentario al libro. En esta réplica respondo a sus objeciones mostrando que la concepción comunitarista de la comprensión de palabras está en condiciones de distinguir entre una comprensión divergente y la no comprensión, y que el enfoque interpretativista no exige el conocimiento previo de las intenciones comunicativas del hablante para dar cuenta de la fijación interpretativa de su comprensión lingüística.",01/01/2011,es
"Nominalismo, conceptualismo y realismo en la teoría estoica de los universales","Salles,Ricardo",Russell,"El objetivo de este trabajo es, por una parte, ofrecer una nueva interpretación de la teoría estoica de los universales a la luz del debate entre nominalismo, conceptualismo y realismo, y, por otra, desentrañar un paralelismo entre el análisis propuesto por los estoicos de enunciados cuyo sujeto gramatical son términos genéricos, y el análisis propuesto por Russell de enunciados como “El actual rey de Francia es calvo”. Al final del trabajo se estudian las bases metafísicas de la teoría estoica de los universales y se señala una posible tensión en su interior.",01/01/2011,es
"Tolerancia, autonomía e inmoralidades “inofensivas” o “sin víctimas”","Zambrano Tiznado,Juan Pablo",principio del daño,"Este trabajo tiene como objetivo argumentar a favor de la tolerancia de ciertas “inmoralidades inofensivas o sin víctimas”. Tomando como punto de partida el liberalismo perfeccionista de Joseph Raz, así como la crítica que de él hace Robert P. George, se plantean argumentos a favor de tolerar ciertos males en aras de evitar que se instrumentalice a las personas. Como conclusión se afirma que, aunque equivocadamente, es posible elegir realizar acciones consentidas que atenten contra el principio del daño.",01/01/2011,es
Inferencia abductiva basada en modelos. Una relación entre lógica y cognición,"Ramírez Figueroa,Alejandro",razonamiento,"La abducción ha desempeñado un papel principal en los enfoques filosóficos sobre la generación de nuevas hipótesis explicativas en las ciencias. Por su parte, desde el punto de vista de la ciencia cognitiva, el razonamiento basado en modelos es el principal instrumento para el pensamiento creativo en la ciencia. Esta segunda clase de razonamiento no se aplica a sentencias sino a objetos semánticos denominados modelos y no está determinada por reglas formales de inferencia. Este artículo sostiene la tesis de que la abducción, en su papel de descubridora, se ve reforzada por la ""abducción basada en modelos"", figura que no ha sido suficientemente analizada en la literatura actual sobre el tema.",01/01/2011,es
Procesos cognitivos y crítica política: ¿una política ilustrada en sentido platónico?,"Monserrat Molas,Josep",conocimiento,La tensión entre una concepción oligárquica y una concepción democrática de la política corre pareja a la tensión entre una concepción elitista y otra universalista del conocimiento. Hasta qué punto el texto platónico del Político sostiene ambos extremos de las dos tensiones es algo que también se relaciona con la complejidad de la metáfora náutica que gobierna el argumento político.,01/01/2011,es
El argumento contra la suerte moral: articulación y respuesta,"Rosell,Sergi",merecimiento verdadero,"En la primera parte del artículo se reconstruye detalladamente el argumento global contra la suerte moral en todos sus tipos, distinguiendo dos estrategias principales (moderada y radical). A continuación, se defiende que ninguna de ellas es sostenible, pues si la primera resulta insuficiente, la segunda es impráctica y finalmente incoherente. Fundamentalmente se intenta mostrar que un argumento definitivo contra la suerte moral en todos sus tipos dependerá por necesidad de la noción imposible de merecimiento incondicionado, o merecimiento verdadero (esencial), en el sentido especialmente fuerte de función estricta del control del agente (o estrictamente proporcional a dicho control).",01/01/2012,es
La estructura lógica de la teoría del valor trabajo,"García de la Sienra,Adolfo",teoría económica,La finalidad de este artículo es proveer una reconstrucción lógica del elemento teórico básico de la teoría del valor trabajo desde la perspectiva de la metateoría estructuralista. Las metas son esbozar con alguna precisión la ley fundamental de la teoría -la ley del valor- así como la aserción empírica.,01/01/2012,es
Medios y consecuencias necesarias. Observaciones acerca de la responsabilidad penal y la doctrina del doble efecto,"Manrique,María Laura",acción intencional,"Este trabajo insiste en la utilidad de la distinción entre medios y consecuencias en la atribución de responsabilidad penal. La estrategia argumental se basa en algunas de las principales intuiciones de la doctrina del doble efecto. En particular, se analiza el modo en que esta doctrina moral traza la diferencia entre daño instrumental y daño incidental. Dado que en la filosofía moral contemporánea se ha criticado severamente esa distinción, se elabora una respuesta a esas críticas. Finalmente, se subraya no sólo en qué sentido es diferente intentar y prever un daño sino también por qué los daños instrumentales cuentan también como daños intentados por el agente.",01/01/2012,es
"""Una imagen de la realidad geométrica"": la concepción axiomática de la geometría de Hilbert a la luz de la Bildtheorie de Heinrich Hertz","Giovannini,Eduardo N.",filosofía de la geometría,"El artículo presenta una interpretación del abordaje axiomático temprano a la geometría de David Hilbert, i.e., el desarrollado entre 1891 y 1905. Se sostiene que diversos aspectos de este abordaje, a primera vista problemáticos, se pueden comprender mejor si se contrastan con una de sus influencias más importantes en este periodo: la teoría pictórica [Bildtheorie] de Heinrich Hertz. En particular se argumenta que un análisis de la concepción axiomática de Hilbert a la luz de la teoría de Hertz permite aliviar ciertas tensiones en la concepción hilbertiana; más precisamente, las tensiones que surgen de mantener, al mismo tiempo, una posición axiomática abstracta o formal y una concepción empirista de la geometría, que la considera una ciencia natural.",01/01/2012,es
"Autorreferencia, autoconciencia y la paradoja de Moore","Vidal,Javier",primera persona,"La paradoja de Moore es el tipo de absurdo de, entre otras cosas, la aserción de una oración de la forma ""p pero yo no creo que p"". Propongo una explicación de la paradoja en términos del uso del pronombre personal ""yo"". Más aún, recurro a un modelo del uso competente al que me referiré como modelo de la autorreferencia autoconsciente. A continuación, muestro que la explicación introducida es independiente de otras explicaciones recientes basadas en la naturaleza consciente de la aserción y de la creencia. Pero, además, concluyo que está justificado pensar que ni la aserción ni la creencia son de naturaleza consciente.",01/01/2012,es
La prueba de Putnam contra el escepticismo radical: dos reinterpretaciones basadas en el autoconocimiento,"Pérez Otero,Manuel",cerebros en cubetas,"Presento y deﬁendo dos reinterpretaciones de la prueba ideada por Putnam para demostrar que no somos cerebros en una cubeta. Ambas resaltan explícitamente el papel desempeñado por el autoconocimiento de nuestros propios pensamientos y por el externismo sobre el contenido. La primera asume que el externismo implica que un cerebro en una cubeta no puede pensar el contenido proposicional relevante (constituido por conceptos acerca de cerebros y cubetas). La otra versión invoca una tesis externista más débil, conforme a la cual un sujeto corpóreo y un cerebro en una cubeta no pueden compartir el contenido proposicional relevante.",01/01/2012,es
¿Qué son las constantes lógicas?,"Frápolli,María José",expresivismo,"El artículo ofrece una caracterización de las constantes lógicas, [CL], analizando el signiﬁcado de las expresiones que son sus contrapartidas en el lenguaje natural. [CL] recoge los rasgos sintácticos, semánticos y pragmáticos individualmente necesarios y conjuntamente suﬁcientes para que una expresión sea una constante lógica. Se obtendrá la siguiente conclusión: que la lista de las expresiones que habitualmente se consideran constantes lógicas no comparten rasgos relevantes desde el punto de vista del signiﬁcado que justiﬁquen su tratamiento como un grupo homogéneo. Sólo algunos usos del condicional, de la negación y de ciertos cuantiﬁcadores son constantes lógicas genuinas.",01/01/2012,es
Acción y construcción lógica,"Barrero,Tomás",oraciones de acción,"En este artículo discuto la semántica de Davidson para oraciones de acción a partir de su análisis de las preposiciones como predicados de sucesos individuales, y señalo ciertas dificultades lógico-lingüísticas conectadas con la pretensión interpretativa y la indiferencia referencial de dicha propuesta. Dejando de lado el presupuesto de la individualidad de los sucesos e inspirado en Evans y Grice, propongo una semántica interpretativa diferente para esos casos y argumento en favor de una tesis constructivista de los sucesos en el discurso de acción.",01/01/2013,es
Conceptos de sustancias y conceptos de propiedades en animales no humanos,"Danón,Laura",conceptos animales,"El presente trabajo tiene dos objetivos centrales. Primero caracterizaré una variante de pragmatismo conceptual según la cual algunos conceptos deben entenderse como habilidades para identificar sustancias e identificar propiedades del entorno, y mostraré que quien cuenta con esas dos habilidades satisface, en grados diversos en cada caso, distintos requisitos centrales para la posesión de conceptos. Posteriormente defenderé la viabilidad de extender este enfoque a los animales no humanos, apelando a evidencia empírica que indica que distintas especies son capaces de identificar sustancias de su entorno y que sugiere la presencia de habilidades para identificar propiedades en algunos primates y pájaros.",01/01/2013,es
Pensamientos de primer orden,"Aguilera,Mariela",conceptos,"Uno de los argumentos en favor de la dependencia entre lenguaje y conceptos descansa en la premisa de que la posesión de conceptos involucra pensamientos de segundo orden y éstos, a su vez, requieren lenguaje. Este trabajo se centra en una variante de este argumento formulada por José Luis Bermúdez. Sostendré que aun cuando el pensamiento de segundo orden suponga competencia lingüística, no es necesario aceptar esa premisa. Propondré, en cambio, dos condiciones alternativas para la posesión de conceptos, la identificación y la generalidad. Si bien ninguna de ellas conlleva el pensamiento de segundo orden, en forma conjunta reflejan importantes aspectos del pensamiento conceptual.",01/01/2013,es
Filosofía analítica en lengua vernácula,"Hurtado,Guillermo",metafilosofía,Se sostiene que la propuesta de Rodriguez-Pereyra de que los analíticos iberoamericanos publiquemos todos nuestras investigaciones en inglés es inviable e indeseable.,01/01/2013,es
El pluralismo moral de David Hume,"Arrieta,Agustín",pluralismo objetivista,"En este trabajo se propone una interpretación del pensamiento moral de David Hume y se argumenta a favor de un pluralismo objetivista. En una primera aproximación se aborda la distinción pluralismo/relativismo en el ámbito de la estética. A continuación, ya en el ámbito de la moral, se exponen las razones que permiten justificar que Hume sea considerado, en primera instancia, un pluralista normativo y, en última, un pluralista objetivista. Nuestro argumento hace uso de la idea humeana de que hay cuatro fuentes de valor, y del concepto de vida/moral artificial.",01/01/2013,es
"Marxismo, autopropiedad y abundancia","Lizárraga,Fernando A.",socialismo,"G.A. Cohen y John Rawls atribuyen a Karl Marx haberse adherido al principio libertarista de autopropiedad y una plena confianza en la abundancia ilimitada como solución a los defectos distributivos del socialismo. Asimismo, consideran que el comunismo marxiano está, en cierto sentido, más allá de la justicia. Contra estas posiciones, veremos que Marx rechaza la autopropiedad en términos normativos, que la predicción de plenitud material no es estrictamente marxiana, y que la doble valoración del comunismo -a la vez justo y más allá de la justicia- no es totalmente consistente.",01/01/2013,es
Funciones y homología funcional en las ciencias cognitivas,"García,Claudia Lorena",evolución cognitiva,"En este ensayo presento brevemente la propuesta de un concepto de homología funcional, junto con sus criterios empíricos. Argumento que dicho concepto es necesario para la articulación de una ciencia cognitiva evolutiva rigurosa y completa. Luego considero la pregunta sobre cuál de los dos principales conceptos de función que han sido desarrollados por filósofos de la biología -a saber, el análisissistémico o el seleccionista- es el que encaja de mejor manera con mi concepto de homología funcional, y concluyo que la noción de tipo sistémico (inicialmente propuesta por Robert Cummins) es la más coherente con dicho concepto.",01/01/2014,es
Reinterpretación del espectador imparcial: impersonalidad utilitarista o respeto a la dignidad,"Carrasco,María A.",sistemas morales,"Durante la Ilustración escocesa se legitimó la “perspectiva del espectador imparcial” como garantía de juicios morales imparciales. Esta escuela de pensamiento se ha considerado tradicionalmente como la antesala del utilitarismo. Sin embargo, actualmente se sostiene que, aunque Hutcheson y Hume sí son protoutilitaristas, la teoría de Smith es la primera gran crítica al utilitarismo. En este ensayo atribuyo esta diferencia a la posición desde la que juzga el espectador -tercera o segunda persona- de la que se derivan estructuras metaéticas distintas que condicionan, entre otras cosas, el significado de la noción de imparcialidad.",01/01/2014,es
